device,task,model,lang,load_time_sec,total_inf_time_sec,avg_ms_per_doc,peak_cpu_mb,peak_gpu_mb
GPU,topic,morit/french_xlm_xnli,fr,1.9526245594024658,42.40877437591553,282.7251625061035,203.3203125,1060.73681640625
GPU,topic,MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,ar,1.4758965969085693,108.60234022140503,724.0156014760335,426.1171875,1064.35986328125
GPU,topic,MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,en,1.4834604263305664,91.47672629356384,609.8448419570923,281.17578125,1064.35986328125
GPU,topic,MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,fr,1.366539478302002,66.68350481987,444.5566987991333,279.21484375,1064.35986328125
GPU,sentiment,CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,ar,0.750361442565918,1.26963210105896,8.464214007059732,381.00390625,416.36376953125
GPU,sentiment,cardiffnlp/twitter-roberta-base-sentiment-latest,en,0.846806526184082,1.7199041843414307,11.466027895609539,0.0,476.36181640625
GPU,sentiment,cmarkea/distilcamembert-base-sentiment,fr,0.5947830677032471,1.2883572578430176,8.589048385620117,4.86328125,260.13916015625
GPU,sentiment,cardiffnlp/twitter-xlm-roberta-base-sentiment,ar,2.311424732208252,1.5285758972167969,10.190505981445312,118.92578125,1060.73681640625
GPU,sentiment,cardiffnlp/twitter-xlm-roberta-base-sentiment,en,2.1092870235443115,1.3605306148529053,9.070204099019369,132.5546875,1060.73681640625
GPU,sentiment,cardiffnlp/twitter-xlm-roberta-base-sentiment,fr,2.1551623344421387,1.4998180866241455,9.998787244160969,138.046875,1060.73681640625
GPU,ner,hatmimoha/arabic-ner,ar,0.7156107425689697,1.3975837230682373,9.317224820454914,9.203125,420.15771484375
GPU,ner,dslim/bert-base-NER,en,0.7093765735626221,1.2082505226135254,8.055003484090168,6.7421875,411.07763671875
GPU,ner,Jean-Baptiste/camembert-ner,fr,0.886652946472168,1.4544918537139893,9.696612358093262,7.12109375,420.11474609375
GPU,ner,urchade/gliner_multi-v2.1,ar,6.226758003234863,3.8686776161193848,25.791184107462566,1964.125,1103.8681640625
GPU,ner,urchade/gliner_multi-v2.1,en,6.067479610443115,3.3362467288970947,22.241644859313965,111.125,1103.8681640625
GPU,ner,urchade/gliner_multi-v2.1,fr,5.992926597595215,3.367208480834961,22.44805653889974,949.640625,1103.8681640625
